DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
ZOOKEEPER,3,74.03993855606758,IBk,None,OverSampling,None,0.47368421052631576,0.225,0.6613372093023255,0.1800970299372856,9.0,10.0,119.0,31.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,None,UnderSampling,None,0.5,0.025,0.8103682170542635,0.0256558085903721,1.0,1.0,128.0,39.0
ZOOKEEPER,3,74.03993855606758,RandomForest,None,UnderSampling,None,0.45161290322580644,0.7,0.771608527131783,0.3668349894119565,28.0,34.0,95.0,12.0
ZOOKEEPER,3,74.03993855606758,IBk,None,UnderSampling,None,0.423728813559322,0.625,0.6807170542635659,0.31054866372491874,25.0,34.0,95.0,15.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,None,SMOTE,None,NaN,0.0,0.8328488372093024,0.0,0.0,0.0,129.0,40.0
ZOOKEEPER,3,74.03993855606758,RandomForest,None,SMOTE,None,0.43333333333333335,0.325,0.6982558139534883,0.21145281018027567,13.0,17.0,112.0,27.0
ZOOKEEPER,3,74.03993855606758,IBk,None,SMOTE,None,0.46875,0.375,0.7412790697674418,0.26124063280599497,15.0,17.0,112.0,25.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,None,None,SensitiveLearning,0.4166666666666667,0.125,0.6814922480620155,0.09325498211548273,5.0,7.0,122.0,35.0
ZOOKEEPER,3,74.03993855606758,RandomForest,None,None,SensitiveLearning,0.4166666666666667,0.125,0.6814922480620155,0.09325498211548273,5.0,7.0,122.0,35.0
ZOOKEEPER,3,74.03993855606758,IBk,None,None,SensitiveLearning,0.4166666666666667,0.125,0.6814922480620155,0.09325498211548273,5.0,7.0,122.0,35.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,0.6875,0.275,0.8125,0.2978983382209188,11.0,5.0,124.0,29.0
ZOOKEEPER,3,74.03993855606758,RandomForest,BestFirst(Bi-directional),OverSampling,None,0.5714285714285714,0.3,0.6488372093023256,0.2753505620581759,12.0,9.0,120.0,28.0
ZOOKEEPER,3,74.03993855606758,IBk,BestFirst(Bi-directional),OverSampling,None,0.5909090909090909,0.325,0.6314922480620155,0.3021335168616655,13.0,9.0,120.0,27.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,0.6666666666666666,0.35,0.8173449612403101,0.3536910418356704,14.0,7.0,122.0,26.0
ZOOKEEPER,3,74.03993855606758,RandomForest,BestFirst(Bi-directional),UnderSampling,None,0.3888888888888889,0.525,0.7222868217054264,0.24018675427978559,21.0,33.0,96.0,19.0
ZOOKEEPER,3,74.03993855606758,IBk,BestFirst(Bi-directional),UnderSampling,None,0.39344262295081966,0.6,0.6472868217054264,0.26515710886865185,24.0,37.0,92.0,16.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.6363636363636364,0.35,0.8184108527131783,0.34090387703601727,14.0,8.0,121.0,26.0
ZOOKEEPER,3,74.03993855606758,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.46153846153846156,0.3,0.7228682170542635,0.21776504297994248,12.0,14.0,115.0,28.0
ZOOKEEPER,3,74.03993855606758,IBk,BestFirst(Bi-directional),SMOTE,None,0.5588235294117647,0.475,0.7221899224806202,0.37829552421827106,19.0,15.0,114.0,21.0
ZOOKEEPER,3,74.03993855606758,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.5625,0.225,0.6993217054263566,0.21529814271749745,9.0,7.0,122.0,31.0
ZOOKEEPER,3,74.03993855606758,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.5625,0.225,0.6993217054263566,0.21529814271749745,9.0,7.0,122.0,31.0
ZOOKEEPER,3,74.03993855606758,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.5625,0.225,0.6993217054263566,0.21529814271749745,9.0,7.0,122.0,31.0
ZOOKEEPER,4,77.22419928825623,NaiveBayes,None,None,None,0.2727272727272727,0.14285714285714285,0.656084656084656,0.12143611404435103,3.0,8.0,163.0,18.0
ZOOKEEPER,4,77.22419928825623,RandomForest,None,None,None,1.0,0.047619047619047616,0.7039821776663882,0.08177905308464851,1.0,0.0,171.0,20.0
ZOOKEEPER,4,77.22419928825623,IBk,None,None,None,NaN,0.0,0.6012252854358118,0.0,0.0,0.0,171.0,21.0
ZOOKEEPER,4,77.22419928825623,NaiveBayes,BestFirst(Bi-directional),None,None,0.5384615384615384,0.3333333333333333,0.828042328042328,0.3580742226680041,7.0,6.0,165.0,14.0
ZOOKEEPER,4,77.22419928825623,RandomForest,BestFirst(Bi-directional),None,None,0.0,0.0,0.707880813143971,-0.010043041606887312,0.0,1.0,170.0,21.0
ZOOKEEPER,4,77.22419928825623,IBk,BestFirst(Bi-directional),None,None,0.4,0.09523809523809523,0.6272626009468115,0.11668757841907149,2.0,3.0,168.0,19.0
ZOOKEEPER,4,77.22419928825623,NaiveBayes,None,OverSampling,None,0.38461538461538464,0.23809523809523808,0.6530214424951267,0.22968906720160465,5.0,8.0,163.0,16.0
ZOOKEEPER,4,77.22419928825623,RandomForest,None,OverSampling,None,0.5555555555555556,0.23809523809523808,0.7025898078529658,0.2865105908584172,5.0,4.0,167.0,16.0
ZOOKEEPER,4,77.22419928825623,IBk,None,OverSampling,None,0.8,0.19047619047619047,0.6917293233082706,0.2772898368883315,4.0,1.0,170.0,17.0
ZOOKEEPER,4,77.22419928825623,NaiveBayes,None,UnderSampling,None,0.3076923076923077,0.38095238095238093,0.6654135338345865,0.2496217851739788,8.0,18.0,153.0,13.0
ZOOKEEPER,4,77.22419928825623,RandomForest,None,UnderSampling,None,0.23529411764705882,0.5714285714285714,0.7617655249234196,0.2110939907550077,12.0,39.0,132.0,9.0
ZOOKEEPER,4,77.22419928825623,IBk,None,UnderSampling,None,0.15384615384615385,0.5714285714285714,0.6027568922305765,0.08466819221967964,12.0,66.0,105.0,9.0
ZOOKEEPER,4,77.22419928825623,NaiveBayes,None,SMOTE,None,0.4117647058823529,0.3333333333333333,0.6559454191033138,0.29990884229717424,7.0,10.0,161.0,14.0
ZOOKEEPER,4,77.22419928825623,RandomForest,None,SMOTE,None,0.3333333333333333,0.14285714285714285,0.7069061542745754,0.14381270903010032,3.0,6.0,165.0,18.0
ZOOKEEPER,4,77.22419928825623,IBk,None,SMOTE,None,0.0,0.0,0.5912002227791702,-0.03626943005181407,0.0,4.0,167.0,21.0
ZOOKEEPER,4,77.22419928825623,NaiveBayes,None,None,SensitiveLearning,NaN,0.0,0.6012252854358118,0.0,0.0,0.0,171.0,21.0
ZOOKEEPER,4,77.22419928825623,RandomForest,None,None,SensitiveLearning,NaN,0.0,0.6012252854358118,0.0,0.0,0.0,171.0,21.0
ZOOKEEPER,4,77.22419928825623,IBk,None,None,SensitiveLearning,NaN,0.0,0.6012252854358118,0.0,0.0,0.0,171.0,21.0
ZOOKEEPER,4,77.22419928825623,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,0.4642857142857143,0.6190476190476191,0.8245614035087719,0.46355685131195346,13.0,15.0,156.0,8.0
ZOOKEEPER,4,77.22419928825623,RandomForest,BestFirst(Bi-directional),OverSampling,None,0.3333333333333333,0.047619047619047616,0.6722361459203564,0.05756358768406931,1.0,2.0,169.0,20.0
ZOOKEEPER,4,77.22419928825623,IBk,BestFirst(Bi-directional),OverSampling,None,0.3333333333333333,0.09523809523809523,0.5718462823725982,0.10462287104622899,2.0,4.0,167.0,19.0
ZOOKEEPER,4,77.22419928825623,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,0.4,0.6666666666666666,0.8350041771094403,0.420814479638009,14.0,21.0,150.0,7.0
ZOOKEEPER,4,77.22419928825623,RandomForest,BestFirst(Bi-directional),UnderSampling,None,0.2459016393442623,0.7142857142857143,0.7699805068226121,0.2426035502958578,15.0,46.0,125.0,6.0
ZOOKEEPER,4,77.22419928825623,IBk,BestFirst(Bi-directional),UnderSampling,None,0.2631578947368421,0.7142857142857143,0.7380952380952381,0.2675250357653791,15.0,42.0,129.0,6.0
