#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
5,77.80777537796976,NaiveBayes,true,OverSampl,false,0.3333333333333333,0.017857142857142856,0.7748239436619718,0.02032367331576925,1.0,2.0,353.0,55.0
5,77.80777537796976,RandomForest,true,OverSampl,false,0.3382352941176471,0.4107142857142857,0.7121981891348088,0.26045030912614203,23.0,45.0,310.0,33.0
5,77.80777537796976,IBk,true,OverSampl,false,0.3064516129032258,0.3392857142857143,0.7080482897384306,0.20874043413389826,19.0,43.0,312.0,37.0
5,77.80777537796976,NaiveBayes,true,UnderSampl,false,0.3333333333333333,0.03571428571428571,0.7730885311871227,0.03917775090689233,2.0,4.0,351.0,54.0
5,77.80777537796976,RandomForest,true,UnderSampl,false,0.30303030303030304,0.5357142857142857,0.7281187122736419,0.2579394492274359,30.0,69.0,286.0,26.0
5,77.80777537796976,IBk,true,UnderSampl,false,0.2403846153846154,0.44642857142857145,0.6711770623742455,0.16451064458900044,25.0,79.0,276.0,31.0
5,77.80777537796976,NaiveBayes,true,SMOTE,false,0.5,0.03571428571428571,0.7681841046277667,0.04939699322649996,2.0,2.0,353.0,54.0
5,77.80777537796976,RandomForest,true,SMOTE,false,0.4888888888888889,0.39285714285714285,0.7082243460764588,0.35765402648679756,22.0,23.0,332.0,34.0
5,77.80777537796976,IBk,true,SMOTE,false,0.4222222222222222,0.3392857142857143,0.7201207243460764,0.29003866085382896,19.0,26.0,329.0,37.0
5,77.80777537796976,NaiveBayes,true,NotSet,true,0.5,0.03571428571428571,0.7716800804828974,0.04939699322649996,2.0,2.0,353.0,54.0
5,77.80777537796976,RandomForest,true,NotSet,true,0.25663716814159293,0.5178571428571429,0.6928068410462777,0.19685579986972515,29.0,84.0,271.0,27.0
5,77.80777537796976,IBk,true,NotSet,true,0.2318840579710145,0.2857142857142857,0.7125,0.12426970925836839,16.0,53.0,302.0,40.0
6,81.29938542581212,NaiveBayes,false,NotSet,false,0.0,0.0,0.8066709844559585,-0.009023234829686463,0.0,2.0,384.0,40.0
6,81.29938542581212,RandomForest,false,NotSet,false,0.6111111111111112,0.275,0.7335168393782383,0.340897369778236,11.0,7.0,379.0,29.0
6,81.29938542581212,IBk,false,NotSet,false,0.48,0.3,0.774740932642487,0.3201245620864154,12.0,13.0,373.0,28.0
6,81.29938542581212,NaiveBayes,true,NotSet,false,0.5,0.025,0.809779792746114,0.03902549063839341,1.0,1.0,385.0,39.0
6,81.29938542581212,RandomForest,true,NotSet,false,0.3684210526315789,0.175,0.721761658031088,0.18819344456678289,7.0,12.0,374.0,33.0
6,81.29938542581212,IBk,true,NotSet,false,0.3103448275862069,0.225,0.74375,0.1975326881879299,9.0,20.0,366.0,31.0
