#TRAINING_RELEASES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,NPOFB_20
2,NaiveBayes,false,NotSet,false,0.125
19,RandomForest,true,SMOTE,false,0.22807017543859648
16,NaiveBayes,false,UnderSampl,false,0.1951219512195122
22,RandomForest,true,NotSet,false,0.35555555555555557
26,RandomForest,false,SMOTE,false,0.18181818181818182
5,NaiveBayes,false,NotSet,false,0.14285714285714285
18,RandomForest,true,UnderSampl,false,0.19642857142857142
22,IBk,true,SMOTE,false,0.35555555555555557
21,NaiveBayes,false,SMOTE,false,0.34
22,IBk,true,UnderSampl,false,0.29545454545454547
9,RandomForest,false,SMOTE,false,0.26666666666666666
25,IBk,true,OverSampl,false,0.25862068965517243
6,IBk,true,NotSet,false,0.35294117647058826
23,NaiveBayes,false,NotSet,true,0.14545454545454545
15,IBk,false,UnderSampl,false,0.3023255813953488
21,NaiveBayes,true,NotSet,true,0.28
23,IBk,false,NotSet,true,0.2545454545454545
23,RandomForest,true,NotSet,true,0.2909090909090909
5,IBk,true,OverSampl,false,0.22857142857142856
13,NaiveBayes,true,UnderSampl,false,0.16666666666666666
8,NaiveBayes,true,NotSet,true,0.15789473684210525
19,RandomForest,false,NotSet,true,0.24561403508771928
2,NaiveBayes,false,UnderSampl,false,0.125
24,IBk,true,UnderSampl,false,0.3
20,IBk,true,NotSet,true,0.1935483870967742
20,IBk,true,OverSampl,false,0.1935483870967742
3,RandomForest,true,UnderSampl,false,0.225
4,IBk,true,SMOTE,false,0.2857142857142857
18,IBk,true,SMOTE,false,0.125
7,IBk,false,OverSampl,false,0.18518518518518517
2,RandomForest,true,NotSet,true,0.1875
16,IBk,false,OverSampl,false,0.2682926829268293
17,IBk,false,NotSet,true,0.13953488372093023
6,RandomForest,true,UnderSampl,false,0.2647058823529412
24,NaiveBayes,false,UnderSampl,false,0.11475409836065574
23,NaiveBayes,true,NotSet,true,0.3888888888888889
18,NaiveBayes,false,UnderSampl,false,0.125
13,NaiveBayes,true,NotSet,false,0.1702127659574468
3,IBk,false,NotSet,true,0.2
25,NaiveBayes,true,NotSet,false,0.2033898305084746
14,NaiveBayes,false,NotSet,true,0.17777777777777778
1,RandomForest,false,NotSet,true,0.125
2,RandomForest,true,UnderSampl,false,0.1875
14,RandomForest,true,SMOTE,false,0.25
5,IBk,false,UnderSampl,false,0.34285714285714286
16,IBk,true,NotSet,true,0.1951219512195122
26,RandomForest,true,UnderSampl,false,0.09090909090909091
16,NaiveBayes,true,OverSampl,false,0.21428571428571427
21,NaiveBayes,true,OverSampl,false,0.32
24,NaiveBayes,false,NotSet,false,0.14754098360655737
3,IBk,true,NotSet,true,0.175
6,IBk,true,UnderSampl,false,0.35294117647058826
11,IBk,true,NotSet,true,0.17073170731707318
15,IBk,false,NotSet,false,0.23255813953488372
9,RandomForest,true,UnderSampl,false,0.24444444444444444
4,IBk,true,OverSampl,false,0.14285714285714285
18,IBk,true,OverSampl,false,0.12727272727272726
26,NaiveBayes,false,OverSampl,false,0.36363636363636365
19,NaiveBayes,false,UnderSampl,false,0.22413793103448276
6,NaiveBayes,false,OverSampl,false,0.23529411764705882
20,NaiveBayes,false,SMOTE,false,0.14516129032258066
7,RandomForest,false,OverSampl,false,0.18518518518518517
5,RandomForest,true,UnderSampl,false,0.37142857142857144
12,RandomForest,true,OverSampl,false,0.21428571428571427
11,NaiveBayes,false,SMOTE,false,0.4146341463414634
25,RandomForest,false,SMOTE,false,0.23728813559322035
9,NaiveBayes,false,NotSet,true,0.13333333333333333
16,IBk,true,UnderSampl,false,0.14634146341463414
18,NaiveBayes,true,NotSet,true,0.17857142857142858
21,IBk,false,SMOTE,false,0.24
24,RandomForest,true,NotSet,true,0.3114754098360656
8,RandomForest,true,UnderSampl,false,0.20512820512820512
20,RandomForest,true,SMOTE,false,0.16129032258064516
18,NaiveBayes,true,UnderSampl,false,0.17857142857142858
8,IBk,false,OverSampl,false,0.23076923076923078
1,IBk,false,NotSet,true,0.11764705882352941
18,RandomForest,true,OverSampl,false,0.12727272727272726
4,RandomForest,false,SMOTE,false,0.2
1,NaiveBayes,true,NotSet,true,0.1875
15,RandomForest,true,NotSet,true,0.23255813953488372
13,NaiveBayes,false,NotSet,true,0.1702127659574468
18,RandomForest,false,OverSampl,false,0.16363636363636364
2,NaiveBayes,true,UnderSampl,false,0.09090909090909091
1,NaiveBayes,true,OverSampl,false,0.1875
