@relation /BOOKKEEPER_TRAINING-SET4.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute LOC_TOUCHED numeric
@attribute LOC_TOUCHED_AVG numeric
@attribute LOC_TOUCHED_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
70,76,25.333334,76,6,2.0,6,82,27.333334,82,70,23.333334,70,3,0,2,NO
183,202,50.5,202,19,4.75,19,221,55.25,221,183,45.75,183,4,0,2,NO
53,53,53.0,53,0,0.0,0,53,53.0,53,53,53.0,53,1,0,1,NO
452,472,118.0,472,20,5.0,20,492,123.0,492,452,113.0,452,4,0,2,YES
39,39,39.0,39,0,0.0,0,39,39.0,39,39,39.0,39,1,0,1,NO
78,82,41.0,82,4,2.0,4,86,43.0,86,78,39.0,78,2,0,2,YES
64,65,32.5,65,1,0.5,1,66,33.0,66,64,32.0,64,2,0,2,YES
31,32,16.0,32,1,0.5,1,33,16.5,33,31,15.5,31,2,0,2,NO
57,61,30.5,61,4,2.0,4,65,32.5,65,57,28.5,57,2,0,2,NO
104,111,55.5,111,7,3.5,7,118,59.0,118,104,52.0,104,2,0,2,NO
32,32,32.0,32,0,0.0,0,32,32.0,32,32,32.0,32,1,0,1,NO
227,279,93.0,279,52,17.333334,52,331,110.333336,331,227,75.666664,227,3,0,2,NO
197,208,52.0,208,11,2.75,11,219,54.75,219,197,49.25,197,4,0,3,NO
75,81,40.5,81,6,3.0,6,87,43.5,87,75,37.5,75,2,0,2,NO
28,28,28.0,28,0,0.0,0,28,28.0,28,28,28.0,28,1,0,1,NO
52,54,27.0,54,2,1.0,2,56,28.0,56,52,26.0,52,2,0,2,NO
429,506,168.66667,506,77,25.666666,77,583,194.33333,583,429,143.0,429,3,0,2,NO
103,134,67.0,134,30,15.0,30,164,82.0,164,104,52.0,104,2,0,2,NO
35,35,35.0,35,0,0.0,0,35,35.0,35,35,35.0,35,1,0,1,NO
98,99,49.5,99,1,0.5,1,100,50.0,100,98,49.0,98,2,0,2,NO
79,94,31.333334,94,15,5.0,15,109,36.333332,109,79,26.333334,79,3,0,2,NO
215,227,75.666664,227,12,4.0,12,239,79.666664,239,215,71.666664,215,3,1,1,NO
271,284,142.0,284,13,6.5,13,297,148.5,297,271,135.5,271,2,0,1,YES
451,534,106.8,534,83,16.6,83,617,123.4,617,459,91.8,459,5,0,3,YES
137,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
368,305,152.5,305,181,90.5,181,486,243.0,486,124,62.0,124,2,0,2,YES
764,580,29.0,580,842,42.1,842,1422,71.1,1422,612,30.6,612,20,7,3,YES
51,53,26.5,53,2,1.0,2,55,27.5,55,53,26.5,53,2,0,2,NO
150,63,31.5,63,5,2.5,5,68,34.0,68,58,29.0,58,2,1,2,YES
31,33,16.5,33,2,1.0,2,35,17.5,35,35,17.5,35,2,0,2,NO
180,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
196,202,101.0,202,6,3.0,6,208,104.0,208,196,98.0,196,2,1,1,YES
473,375,31.25,375,373,31.083334,373,748,62.333332,748,282,23.5,282,12,5,3,YES
40,40,40.0,40,0,0.0,0,40,40.0,40,40,40.0,40,1,1,1,NO
255,130,32.5,130,79,19.75,79,209,52.25,209,51,12.75,51,4,2,1,YES
379,401,100.25,401,22,5.5,22,423,105.75,423,379,94.75,379,4,1,3,YES
509,545,77.85714,545,36,5.142857,36,581,83.0,581,541,77.28571,541,7,1,3,YES
32,32,32.0,32,0,0.0,0,32,32.0,32,32,32.0,32,1,0,1,NO
66,74,37.0,74,8,4.0,8,82,41.0,82,72,36.0,72,2,0,1,NO
187,211,52.75,211,24,6.0,24,235,58.75,235,191,47.75,191,4,2,2,YES
576,589,196.33333,589,13,4.3333335,13,602,200.66667,602,576,192.0,576,3,0,2,YES
158,161,53.666668,161,3,1.0,3,164,54.666668,164,158,52.666668,158,3,0,1,YES
46,128,16.0,128,633,79.125,633,761,95.125,761,579,72.375,579,8,2,2,YES
27,80,40.0,80,53,26.5,53,133,66.5,133,131,65.5,131,2,0,1,NO
788,842,120.28571,842,54,7.714286,54,896,128.0,896,788,112.57143,788,7,4,3,YES
60,60,60.0,60,0,0.0,0,60,60.0,60,60,60.0,60,1,0,1,NO
62,74,14.8,74,161,32.2,161,235,47.0,235,159,31.8,159,5,1,1,YES
88,118,59.0,118,30,15.0,30,148,74.0,148,138,69.0,138,2,0,1,YES
52,55,27.5,55,3,1.5,3,58,29.0,58,54,27.0,54,2,0,1,YES
163,9,4.5,9,3,1.5,3,12,6.0,12,6,3.0,6,2,1,2,NO
91,91,91.0,91,0,0.0,0,91,91.0,91,91,91.0,91,1,0,1,YES
147,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
139,12,12.0,12,10,10.0,10,22,22.0,22,2,2.0,2,1,1,1,NO
282,11,11.0,11,0,0.0,0,11,11.0,11,11,11.0,11,1,0,1,NO
582,152,25.333334,152,118,19.666666,118,270,45.0,270,116,19.333334,116,6,3,3,YES
800,91,22.75,91,19,4.75,19,110,27.5,110,72,18.0,72,4,1,2,YES
216,19,6.3333335,19,8,2.6666667,8,27,9.0,27,11,3.6666667,11,3,2,1,YES
55,9,9.0,9,4,4.0,4,13,13.0,13,5,5.0,5,1,0,1,NO
184,8,2.6666667,8,9,3.0,9,17,5.6666665,17,3,1.0,3,3,2,2,NO
65,13,13.0,13,9,9.0,9,22,22.0,22,4,4.0,4,1,1,1,NO
150,26,13.0,26,33,16.5,33,59,29.5,59,7,3.5,7,2,1,1,YES
81,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
84,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
905,221,24.555555,221,78,8.666667,78,299,33.22222,299,143,15.888889,143,9,5,3,YES
312,70,14.0,70,6,1.2,6,76,15.2,76,64,12.8,64,5,2,3,YES
171,5,5.0,5,3,3.0,3,8,8.0,8,2,2.0,2,1,0,1,YES
153,30,5.0,30,73,12.166667,73,103,17.166666,103,49,8.166667,49,6,3,3,YES
