TicketKey,CreationDate,ResolutionDate, OV,FV,AV
ZOOKEEPER-3654,2019-12-18,2020-03-25,38,39,0
ZOOKEEPER-3653,2019-12-17,2019-12-19,38,38,0
ZOOKEEPER-3652,2019-12-16,2022-03-30,38,46,1
ZOOKEEPER-3651,2019-12-16,2019-12-16,38,38,1
ZOOKEEPER-3644,2019-12-10,2020-01-05,38,38,1
ZOOKEEPER-3642,2019-12-09,2020-11-23,38,42,3
ZOOKEEPER-3641,2019-12-09,2019-12-10,38,38,0
ZOOKEEPER-3633,2019-11-28,2019-12-03,38,38,2
ZOOKEEPER-3613,2019-11-12,2020-01-20,38,38,1
ZOOKEEPER-3605,2019-11-02,2019-11-06,38,38,0
ZOOKEEPER-3590,2019-10-22,2019-11-22,38,38,1
ZOOKEEPER-3579,2019-10-14,2020-04-16,37,39,0
ZOOKEEPER-3563,2019-09-30,2019-10-08,37,37,2
ZOOKEEPER-3559,2019-09-25,2019-09-27,37,37,0
ZOOKEEPER-3546,2019-09-16,2019-11-25,37,38,2
ZOOKEEPER-3540,2019-09-09,2019-09-10,37,37,0
ZOOKEEPER-3531,2019-09-02,2019-10-09,37,37,4
ZOOKEEPER-3518,2019-08-25,2019-08-25,37,37,1
ZOOKEEPER-3510,2019-08-15,2019-08-23,37,37,0
ZOOKEEPER-3498,2019-08-07,2019-08-08,37,37,1
ZOOKEEPER-3496,2019-08-07,2019-09-26,37,37,2
ZOOKEEPER-3479,2019-07-31,2019-08-02,37,37,1
ZOOKEEPER-3471,2019-07-28,2019-10-09,37,37,0
ZOOKEEPER-3440,2019-06-22,2019-06-28,37,37,0
ZOOKEEPER-3433,2019-06-19,2019-06-25,37,37,2
ZOOKEEPER-3426,2019-06-11,2021-01-13,37,42,0
ZOOKEEPER-3405,2019-05-28,2019-05-30,37,37,1
ZOOKEEPER-3404,2019-05-27,2019-05-28,37,37,0
ZOOKEEPER-3399,2019-05-22,2019-05-25,37,37,0
ZOOKEEPER-3373,2019-04-28,2019-08-05,36,37,1
ZOOKEEPER-3356,2019-04-09,2019-07-23,36,37,1
ZOOKEEPER-3320,2019-03-17,2019-08-13,35,37,2
ZOOKEEPER-3306,2019-03-11,2019-04-29,35,36,2
ZOOKEEPER-3304,2019-03-10,2019-03-14,35,35,1
ZOOKEEPER-3296,2019-03-07,2019-06-14,35,37,1
ZOOKEEPER-3253,2019-01-22,2019-03-08,35,35,2
ZOOKEEPER-3231,2018-12-29,2021-09-10,35,45,2
ZOOKEEPER-3218,2018-12-17,2019-01-18,35,35,0
ZOOKEEPER-3217,2018-12-15,2019-01-03,35,35,0
ZOOKEEPER-3215,2018-12-13,2020-04-30,35,39,1
ZOOKEEPER-3212,2018-12-11,2018-12-11,35,35,0
ZOOKEEPER-3210,2018-12-08,2019-01-08,35,35,0
ZOOKEEPER-3199,2018-11-24,2018-11-26,35,35,0
ZOOKEEPER-3162,2018-10-09,2018-11-12,35,35,2
ZOOKEEPER-3156,2018-09-26,2018-11-05,35,35,2
ZOOKEEPER-3148,2018-09-14,2018-09-25,35,35,1
ZOOKEEPER-3145,2018-09-11,2019-09-11,35,37,2
ZOOKEEPER-3144,2018-09-11,2018-09-14,35,35,2
ZOOKEEPER-3131,2018-08-28,2018-09-07,35,35,2
ZOOKEEPER-3128,2018-08-24,2021-03-28,35,44,0
ZOOKEEPER-3127,2018-08-23,2018-09-05,35,35,2
ZOOKEEPER-3125,2018-08-20,2018-11-08,35,35,0
ZOOKEEPER-3121,2018-08-15,2018-08-15,35,35,0
ZOOKEEPER-3119,2018-08-14,2018-08-15,35,35,0
ZOOKEEPER-3117,2018-08-11,2018-08-17,35,35,0
ZOOKEEPER-3113,2018-08-07,2018-10-18,35,35,1
ZOOKEEPER-3112,2018-08-07,2020-07-28,35,41,2
ZOOKEEPER-3105,2018-07-26,2018-07-30,35,35,2
ZOOKEEPER-3104,2018-07-25,2018-08-03,35,35,2
ZOOKEEPER-3093,2018-07-18,2018-07-19,35,35,1
ZOOKEEPER-3082,2018-07-05,2018-07-30,34,35,2
ZOOKEEPER-3079,2018-07-03,2018-07-10,34,34,1
ZOOKEEPER-3072,2018-06-29,2018-07-28,34,35,5
ZOOKEEPER-3059,2018-06-11,2018-06-25,34,34,1
ZOOKEEPER-3056,2018-06-05,2019-09-03,34,37,2
ZOOKEEPER-3051,2018-05-21,2018-05-23,34,34,1
ZOOKEEPER-3050,2018-05-21,2018-05-22,34,34,1
ZOOKEEPER-3042,2018-05-13,2018-07-10,33,34,2
ZOOKEEPER-3041,2018-05-13,2018-05-16,33,33,1
ZOOKEEPER-3038,2018-05-09,2018-05-10,33,33,1
ZOOKEEPER-3034,2018-05-07,2019-02-26,33,35,1
ZOOKEEPER-3016,2018-04-03,2018-04-09,32,32,1
ZOOKEEPER-3007,2018-03-26,2018-04-26,32,32,0
ZOOKEEPER-3006,2018-03-24,2018-04-06,32,32,0
ZOOKEEPER-3001,2018-03-18,2018-03-26,32,32,1
ZOOKEEPER-2998,2018-03-09,2018-03-26,32,32,0
ZOOKEEPER-2997,2018-03-09,2018-03-26,32,32,0
ZOOKEEPER-2993,2018-03-05,2018-05-23,32,34,1
ZOOKEEPER-2992,2018-03-04,2018-03-05,32,32,2
ZOOKEEPER-2988,2018-03-01,2018-04-30,32,32,3
ZOOKEEPER-2982,2018-02-19,2018-05-08,32,33,3
ZOOKEEPER-2978,2018-02-12,2018-02-20,32,32,1
ZOOKEEPER-2964,2018-01-08,2018-01-19,32,32,1
ZOOKEEPER-2961,2017-12-22,2018-01-19,32,32,2
ZOOKEEPER-2960,2017-12-22,2018-01-08,32,32,1
ZOOKEEPER-2959,2017-12-20,2018-05-10,32,33,2
ZOOKEEPER-2953,2017-12-13,2017-12-16,32,32,2
ZOOKEEPER-2951,2017-12-11,2017-12-12,32,32,1
ZOOKEEPER-2949,2017-11-27,2018-01-30,32,32,1
ZOOKEEPER-2948,2017-11-21,2017-11-22,32,32,1
ZOOKEEPER-2944,2017-11-17,2017-11-21,32,32,0
